,title,link,date_published,text,like_count,reply_parent_id,source,cleaned_text
0,"This is it, ladies and gents. Pure, 100% cringe, boiled down and extracted many times over. If you could smoke this interview, you&#39;d kill yourself.",https://www.youtube.com/watch?v=oBEoqiZRIvg&lc=UgzTU0OpNyW7tIyGde94AaABAg,2025-09-09 13:27:30,"This is it, ladies and gents. Pure, 100% cringe, boiled down and extracted many times over. If you could smoke this interview, you'd kill yourself.",0,,youtube,lady gent pure cringe boiled extracted smoke interview kill
1,Matt is essential in our current climate. Thank you Matt,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxcGjY0MfGXfKGJzWB4AaABAg,2025-09-09 12:49:09,Matt is essential in our current climate. Thank you Matt,0,,youtube,matt essential current climate matt
2,I couldn&#39;t disagree more. It&#39;s great to see Taibbi he&#39;s never been better.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugx3sAYpvJwtsmoKM5x4AaABAg.AMoSYZi0g_DAMq4VWazVzS,2025-09-09 12:36:51,I couldn't disagree more. It's great to see Taibbi he's never been better.,0,Ugx3sAYpvJwtsmoKM5x4AaABAg,youtube,disagree great taibbi better
3,"All the intelligent voices that once populated the UNHERD comments section have abandoned ship… sad . 😔 <br><br>Now it’s just a bunch of sycophantic bots , like every other YouTube channel",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxMwe06dtGWE9doXi54AaABAg,2025-09-09 11:20:37,"All the intelligent voices that once populated the UNHERD comments section have abandoned ship… sad . 😔 

Now it’s just a bunch of sycophantic bots , like every other YouTube channel",0,,youtube,intelligent voice populated unherd comment section abandoned ship sad bunch sycophantic bot youtube channel
4,"He’s a shell of a shell , of his former self 😢",https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugx3sAYpvJwtsmoKM5x4AaABAg.AMoSYZi0g_DAMpw_A3QMGC,2025-09-09 11:18:51,"He’s a shell of a shell , of his former self 😢",0,Ugx3sAYpvJwtsmoKM5x4AaABAg,youtube,shell shell former self
5,"That you , Matt ? 😂<br><br>When you gonna write about the slaughter in Gaza ?",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxaRzbwkOBegkVbNU14AaABAg.AMonQZhEELoAMpwU8yuy8e,2025-09-09 11:18:01,"That you , Matt ? 😂

When you gonna write about the slaughter in Gaza ?",0,UgxaRzbwkOBegkVbNU14AaABAg,youtube,matt gonna write slaughter gaza
6,"Matt says he doesn’t know enough about ISREAL and GAZA to report on it …😂<br><br>Apparently, 2 years of an ongoing MASS SLAUGHTER is not enough time to learn the details ?",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzpWeQe1obVE-Mrk2J4AaABAg.AMpNfmuxVpYAMpwMpXoIsF,2025-09-09 11:17:02,"Matt says he doesn’t know enough about ISREAL and GAZA to report on it …😂

Apparently, 2 years of an ongoing MASS SLAUGHTER is not enough time to learn the details ?",0,UgzpWeQe1obVE-Mrk2J4AaABAg,youtube,matt enough isreal gaza report apparently ongoing mass slaughter enough learn detail
7,"Let me disabuse you about what is ruined politics, ruined politics are honest, fair, just and willing to see the mistakes.  Musk can&#39;t ruin them.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzLTwQ8avgnI21sbh94AaABAg,2025-09-09 10:27:45,"Let me disabuse you about what is ruined politics, ruined politics are honest, fair, just and willing to see the mistakes.  Musk can't ruin them.",0,,youtube,disabuse ruined politics ruined politics honest fair willing mistake musk ruin
8,Dearest Freddie <br>Your words are one thing <br>Your eyes say something else<br>And such a handsome face..,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgwS81TMEIWpT78e6XR4AaABAg,2025-09-09 09:03:18,"Dearest Freddie 
Your words are one thing 
Your eyes say something else
And such a handsome face..",0,,youtube,dearest freddie word eye else handsome face
9,"Super good questions for Mr Taibbi, asking him to sound off directly about things his regular writings don&#39;t necessarily touch upon.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgyR7Nyi60M9j3CbwBR4AaABAg,2025-09-09 06:58:19,"Super good questions for Mr Taibbi, asking him to sound off directly about things his regular writings don't necessarily touch upon.",0,,youtube,super question mr taibbi asking sound directly regular writing necessarily touch upon
10,Matt is a hack. ask him about israel.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzpWeQe1obVE-Mrk2J4AaABAg,2025-09-09 06:05:11,Matt is a hack. ask him about israel.,1,,youtube,matt hack ask israel
11,I don’t agree with Freddie re X.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzJKqifXk_cbq_-WVd4AaABAg,2025-09-09 04:33:54,I don’t agree with Freddie re X.,0,,youtube,agree freddie x
12,"We need to be protected, as consumers, against misinformation.  Hold on - I gotta eat some &#39;flavanol cocoa&#39; in this supplement promoted by UnHerd ( that&#39;s definitely NOT super expensive pee ).  It&#39;s just like getting stem cells !!!",https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugw0xDqVs1o8KX4yR5B4AaABAg,2025-09-09 04:31:59,"We need to be protected, as consumers, against misinformation.  Hold on - I gotta eat some 'flavanol cocoa' in this supplement promoted by UnHerd ( that's definitely NOT super expensive pee ).  It's just like getting stem cells !!!",1,,youtube,protected consumer misinformation hold gotta eat flavanol cocoa supplement promoted unherd definitely super expensive pee getting stem cell
13,Matt Taibbi is a real clown.  He won&#39;t say a damn thing about the censorship that exists around Israel&#39;s Genocide on Gaza.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugx0uFsZBLTPWcfjh0p4AaABAg,2025-09-09 04:11:11,Matt Taibbi is a real clown.  He won't say a damn thing about the censorship that exists around Israel's Genocide on Gaza.,3,,youtube,matt taibbi clown damn censorship exists around israel genocide gaza
14,"So refreshing to hear the optimism, Matt!",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxJQtrQxXTrPFHbZwh4AaABAg,2025-09-09 02:29:41,"So refreshing to hear the optimism, Matt!",1,,youtube,refreshing hear optimism matt
15,Why is everybody and their mother calling Mr. Musk by his first name? Is he your buddy? You guys know him personally?,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugw1W5YrwHyMYIMIeQR4AaABAg,2025-09-09 00:46:24,Why is everybody and their mother calling Mr. Musk by his first name? Is he your buddy? You guys know him personally?,0,,youtube,everybody mother calling mr musk first name buddy personally
