,title,link,date_published,text,like_count,reply_parent_id,topic
0,I got a bit too excited,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=Ugw2pZDK4zyfIANamgp4AaABAg,2024-05-14T19:49:29Z,I got a bit too excited,0,,twitter
1,Elon You are Awesome! Thank you for saving Free Speech 👍🇺🇸❤️,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgzTU0tUYg1K2qnpqFN4AaABAg,2024-01-28T21:10:18Z,Elon You are Awesome! Thank you for saving Free Speech 👍🇺🇸❤️,0,,twitter
2,This goes to show that power can either be for the good or worse. I&#39;m willing to bet Elon knew that since he gained all he needed for changing the world...,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgzYQkvCd5ecJeRIGIJ4AaABAg,2023-10-22T17:59:19Z,This goes to show that power can either be for the good or worse. I'm willing to bet Elon knew that since he gained all he needed for changing the world...,0,,twitter
3,bought it and fixed all of that,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgxlzCcLjpimUSKMKbd4AaABAg,2023-05-29T15:28:07Z,bought it and fixed all of that,0,,twitter
4,why did he buy it u can download it for free,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgzKh4cmoUugr05ti7l4AaABAg,2023-01-17T16:37:50Z,why did he buy it u can download it for free,0,,twitter
5,NBC NEWS CAN YOU PLEASE TELL ELON TO MAKE A RULE CALLED &quot;NO POSTING NUDES&quot; CUZ ITS GETTING ANNOYING,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgzUVtrtcDYDbQj-G3p4AaABAg,2023-01-06T23:35:37Z,"NBC NEWS CAN YOU PLEASE TELL ELON TO MAKE A RULE CALLED ""NO POSTING NUDES"" CUZ ITS GETTING ANNOYING",0,,twitter
6,"Have a feeling his main goal is taking Tesla private, Tesla stocks goes down and he sells billions in stock without causing panic saying funds are use to buy Twitter …twitter will always be worth that much while Tesla is at the mercy of its stock price…he’s basically cashing out..",https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgywINDr0QQNacl8JK14AaABAg,2023-01-06T18:53:17Z,"Have a feeling his main goal is taking Tesla private, Tesla stocks goes down and he sells billions in stock without causing panic saying funds are use to buy Twitter …twitter will always be worth that much while Tesla is at the mercy of its stock price…he’s basically cashing out..",0,,twitter
7,"Elon Musk is an owner of Tesla, and needs a larger supply &amp; service chain for electric vehicle production, and an increase in market share. Between buying twitter for $44B versus buying General Motors for $47B, I believe the latter, GM, is better for his business, and the former, twitter, is better for the people of the US and the 1st Amendment.",https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=Ugzkhj7eLJOl15azwhp4AaABAg,2022-12-25T02:35:06Z,"Elon Musk is an owner of Tesla, and needs a larger supply & service chain for electric vehicle production, and an increase in market share. Between buying twitter for $44B versus buying General Motors for $47B, I believe the latter, GM, is better for his business, and the former, twitter, is better for the people of the US and the 1st Amendment.",0,,twitter
8,"I find it funny that all of the liberal pvssies out there are going crazy mad because Twitter is no longer silencing conservatives.  Liberals are pushing for a fight.  Do they not know the right is the all of the 2A guys? Lol.  How do the liberals think the battle will end? Liberals control social media, conservatives control firepower.  Liberals would be overwhelmed and swallowed quickly.",https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=UgxkZRXitAOXMj5LJXJ4AaABAg,2022-12-15T15:50:44Z,"I find it funny that all of the liberal pvssies out there are going crazy mad because Twitter is no longer silencing conservatives.  Liberals are pushing for a fight.  Do they not know the right is the all of the 2A guys? Lol.  How do the liberals think the battle will end? Liberals control social media, conservatives control firepower.  Liberals would be overwhelmed and swallowed quickly.",0,,twitter
9,Elon needs to buy youtube,https://www.youtube.com/watch?v=HY_CIfUyAIk&lc=Ugzs7yNDDQZ0DtEHFUZ4AaABAg,2022-11-27T13:56:25Z,Elon needs to buy youtube,3,,twitter
